team_size,project_budget,project_duration,requirement_change_count,average_sprint_delay,bug_count,testing_coverage,code_complexity,developer_experience,communication_frequency,task_completion_rate,client_change_requests,previous_project_success_rate,risk_level,delay,budget_overrun,quality_issues,requirement_instability
7,65584.8,9,6,2.77,48,65.22,9,2.11,10,53.61,4,71.66,Low,1,0,0,0
46,413451.31,4,8,3.1,50,66.82,10,1.18,10,57.74,4,79.67,Low,0,0,1,0
39,33514.61,13,8,0.0,52,52.43,7,3.02,7,60.61,2,44.23,Low,0,0,0,1
27,198454.1,13,11,3.72,68,58.1,8,2.99,2,93.87,3,51.08,Low,0,1,0,0
27,144510.7,18,4,4.42,62,84.94,5,2.79,7,70.59,8,61.72,Low,0,0,0,0
51,279577.72,5,5,4.65,52,63.63,10,1.68,3,36.65,4,79.35,Low,0,0,0,0
6,134711.79,13,5,0.31,51,73.51,4,5.4,7,52.75,7,63.28,Low,0,0,0,0
42,201239.15,20,8,2.14,59,85.41,8,2.23,1,83.45,4,70.43,Low,0,0,1,0
13,207496.58,7,6,1.12,47,81.81,10,5.82,6,65.47,7,86.07,Low,0,0,0,0
7,117810.2,20,8,0.0,61,62.58,10,6.23,3,52.36,2,82.83,Low,1,0,0,0
32,337316.9,17,5,0.96,63,63.9,9,10.68,6,65.94,3,35.1,Low,1,0,0,0
58,292909.91,10,8,0.03,41,55.05,2,3.41,3,87.7,7,75.28,Low,0,0,0,0
44,234049.49,21,7,2.87,59,70.98,10,4.12,2,100.0,4,81.87,Low,0,0,0,0
46,172517.5,23,6,0.0,65,54.56,2,2.71,3,71.07,6,70.53,Low,0,0,0,0
43,393377.93,6,7,0.24,61,68.3,3,1.69,9,79.83,5,81.46,Low,1,0,0,0
47,207549.84,23,9,1.16,68,80.69,6,3.49,4,70.4,5,85.85,Low,0,0,0,0
31,194794.49,1,7,3.74,56,31.65,2,2.64,7,75.5,2,77.84,Low,0,1,1,0
9,268844.21,3,6,7.76,51,28.57,8,1.66,7,57.2,3,70.27,Low,1,0,0,0
50,555385.6,1,6,2.81,49,61.2,10,5.07,6,95.12,2,76.53,Low,0,0,0,0
28,15000.0,9,3,0.14,47,74.04,3,1.93,10,64.67,1,30.11,Low,0,0,0,0
31,388574.24,22,9,0.84,69,67.16,4,5.86,0,54.41,2,97.4,Low,1,1,0,0
23,15000.0,14,9,3.52,58,40.2,5,6.55,5,59.69,1,95.82,Low,0,0,0,1
12,289109.17,15,9,0.0,63,78.19,1,2.42,10,82.64,2,94.54,Low,0,0,0,0
55,533514.91,2,4,4.39,59,96.35,2,7.86,10,60.82,5,74.31,Low,0,1,0,1
47,337960.33,12,6,2.75,58,46.36,10,5.46,4,96.27,3,82.29,Low,0,0,1,0
39,280712.51,9,4,1.95,61,48.95,10,4.33,0,82.23,5,74.52,Low,0,0,0,0
25,149119.1,12,6,0.0,51,62.46,6,0.23,3,85.78,4,77.81,Low,0,0,0,0
49,255588.5,7,6,4.04,60,59.74,8,0.39,4,65.3,4,96.62,Low,1,0,0,0
33,204628.69,5,7,0.68,59,83.66,1,8.27,4,62.06,4,40.13,Low,0,0,0,1
27,108524.21,22,6,2.51,52,67.1,1,7.67,0,72.53,5,79.91,Low,0,0,0,0
28,197822.39,13,5,1.89,57,56.75,9,8.34,10,53.01,5,57.0,Low,1,1,0,0
15,285708.61,10,6,0.0,58,51.39,1,8.96,6,79.56,7,51.26,Low,0,0,0,0
7,111900.93,2,7,1.74,67,34.5,8,7.8,4,86.68,0,69.72,Low,0,1,0,0
34,104869.27,18,7,0.0,44,86.65,10,5.07,10,60.93,5,49.45,Low,0,0,0,0
53,15000.0,11,5,0.9,49,73.3,8,5.84,9,83.04,2,49.42,Low,0,0,0,0
5,320330.5,9,6,3.07,62,60.37,4,2.86,2,76.07,3,42.09,Low,0,0,0,0
51,348158.19,16,8,3.6,42,63.96,6,5.07,2,89.86,3,63.32,Low,0,0,0,1
50,291698.88,4,5,2.16,43,60.06,7,6.29,7,98.3,5,81.57,Low,0,0,0,0
18,423730.69,13,9,0.43,44,30.22,5,6.34,9,84.51,2,86.86,Low,1,0,0,1
38,265816.17,20,11,0.91,61,36.42,10,4.2,8,71.1,2,100.0,Low,0,0,0,0
11,320561.97,11,7,0.87,44,58.32,1,0.2,9,91.29,1,64.71,Low,0,0,0,0
45,304690.74,1,9,0.0,59,58.02,10,0.87,1,72.76,7,86.36,Low,0,0,0,0
42,233522.8,6,5,2.35,58,61.78,9,5.64,1,67.75,4,75.24,Low,0,0,0,1
22,154452.07,2,8,0.0,58,92.56,1,3.29,4,62.24,1,74.72,Low,0,0,0,0
5,648547.47,12,5,2.35,42,56.85,6,6.1,6,73.56,10,78.73,Low,0,0,0,0
58,168648.82,9,5,0.0,59,48.27,7,1.58,1,88.08,5,86.42,Low,1,1,0,1
27,130142.01,4,3,0.0,52,62.95,10,7.77,0,55.5,7,80.61,Low,1,0,0,1
53,328121.77,16,13,3.54,47,36.86,10,2.25,3,52.16,3,64.87,Low,1,0,1,1
41,295333.79,5,4,2.25,61,64.8,5,8.04,7,52.48,5,82.52,Low,1,0,0,0
47,15000.0,8,5,0.0,52,48.95,2,0.78,8,88.35,1,60.68,Low,1,0,1,1
46,452082.09,23,7,1.08,52,66.05,9,5.95,8,78.37,5,82.57,Low,0,0,0,1
13,233044.98,2,8,2.72,73,58.76,7,2.26,3,95.59,2,74.09,Low,0,0,0,0
23,50032.4,6,2,0.96,59,59.45,6,4.48,3,63.7,5,38.36,Low,0,1,0,0
29,463981.14,8,6,1.51,42,73.28,8,7.08,10,52.44,2,69.51,Low,0,0,1,0
30,362621.6,12,9,2.69,50,75.22,1,6.66,1,96.91,3,88.77,Low,0,0,0,0
4,22382.44,6,6,2.29,57,98.6,1,2.52,8,60.23,4,69.72,Low,0,0,0,0
33,569892.91,23,6,0.22,42,74.5,5,3.03,0,82.81,3,76.12,Low,1,1,0,0
10,368583.53,1,6,2.24,44,57.59,4,0.73,2,50.65,4,63.38,Low,0,0,1,0
45,248164.7,22,2,1.63,50,50.61,2,0.2,2,74.89,6,67.07,Low,0,0,0,0
41,536239.39,13,11,5.65,50,68.24,3,2.5,4,69.39,1,89.07,Low,1,1,1,0
55,278673.6,1,7,1.99,48,88.31,5,2.45,1,49.22,6,64.24,Low,0,0,0,0
45,244945.05,3,11,2.47,49,77.41,1,0.88,6,100.0,2,51.28,Low,0,1,0,0
23,131145.98,3,4,2.72,67,49.18,8,4.01,4,57.79,3,32.76,Low,1,0,0,0
58,354733.08,7,4,1.56,46,70.15,1,4.42,6,57.04,4,58.29,Low,0,1,0,0
25,335788.53,8,7,0.76,57,66.0,7,4.47,7,61.53,5,52.22,Low,0,0,0,0
20,252642.43,15,7,3.12,44,80.88,4,2.58,6,37.13,5,45.25,Low,1,0,0,0
54,107802.46,8,5,3.14,63,67.43,2,3.11,5,66.77,4,52.68,Low,0,0,0,1
23,273387.37,17,4,6.37,52,66.75,6,3.74,4,61.53,2,54.17,Low,0,0,0,1
6,237436.22,7,4,3.68,58,40.74,7,6.46,7,87.88,6,52.96,Low,0,0,0,0
29,15000.0,7,8,3.72,57,76.26,10,2.88,10,77.05,3,96.9,Low,1,1,0,0
48,15000.0,7,5,3.64,67,36.97,5,0.47,1,51.72,2,42.3,Low,0,0,0,0
